College Name,Month/Year Collected,Annual Green Power Usage (kWh),GP% Total Energy Use,Green Power Resources,College State
University of California,21-Jul,480801183,46,Various,CA
Arizona State University,21-Jul,292135945,87,"Solar, Wind",AZ
Columbia University,21-Jul,232109000,100,Various,NY
"University at Buffalo, The State University of New York",21-Jul,216403405,102,"Solar, Wind",NY
Boston University,21-Jul,205000000,100,Wind,MA
Stanford University,21-Jul,186275157,69,Various,CA
University of Maryland,21-Jul,171274825,68,"Small-hydro, Solar, Wind",MD
Georgetown University,21-Jul,152404000,127,Wind,DC
University of Utah,21-Jul,129873801,43,"Geothermal, Solar",UT
Carnegie Mellon University,21-Jul,125005846,111,"Solar, Wind",PA
Saint Louis University,21-Jul,125000000,105,Wind,MO
University of Oklahoma,21-Jul,122065000,72,Wind,OK
Northeastern University,21-Jul,106000000,100,Wind,MA
Northwestern University,21-Jul,100197017,40,"Solar, Wind",IL
The Ohio State University,21-Jul,99742483,17,Wind,OH
Oklahoma State University,21-Jul,88769890,67,Wind,OK
University of North Texas,21-Jul,80324884,74,"Solar, Wind",TX
George Washington University,21-Jul,77797575,57,"Biomass, Solar",DC
University of Missouri,21-Jul,75528949,32,"Biomass, Solar, Wind",MO
Ohio University,21-Jul,69670685,73,"Solar, Wind",OH
Rochester Institute of Technology,21-Jul,69543062,97,Various,NY
University of Minnesota,21-Jul,61519736,16,"Solar, Wind",MN
University of Virginia,21-Jul,61461216,18,Solar,VA
University of Vermont,21-Jul,59759945,101,"Biogas, Solar, Wind",VT
Tarrant County College District,21-Jul,57130346,100,"Solar, Wind",TX
Southern Illinois University Edwardsville,21-Jul,55957182,100,Wind,IL
Temple University,21-Jul,48924000,27,Various,PA
City Colleges of Chicago,21-Jul,46544696,100,Wind,IL
University of Wisconsin,21-Jul,41776175,10,"Solar, Wind",WI
American University,21-Jul,40799344,74,Various,DC
University of California,21-Apr,328380213,30,"Biogas, Biomass, Solar, Wind",CA
Arizona State University,21-Apr,292135945,87,"Solar, Wind",AZ
Columbia University,21-Apr,232109000,100,Various,NY
"University at Buffalo, The State University of New York",21-Apr,216403405,102,"Solar, Wind",NY
Boston University,21-Apr,205000000,100,Wind,MA
Stanford University,21-Apr,186275157,69,Various,CA
University of Maryland,21-Apr,171274825,68,"Small-hydro, Solar, Wind",MD
Georgetown University,21-Apr,152404000,127,Wind,DC
University of Utah,21-Apr,148673985,49,"Geothermal, Solar",UT
Carnegie Mellon University,21-Apr,125005846,111,"Solar, Wind",PA
University of Oklahoma,21-Apr,125000000,105,Wind,OK
Saint Louis University,21-Apr,122065000,72,Wind,MO
Northeastern University,21-Apr,106000000,100,Wind,MA
Northwestern University,21-Apr,100197017,40,"Solar, Wind",IL
The Ohio State University,21-Apr,99742483,17,Wind,OH
Oklahoma State University,21-Apr,88769890,67,Wind,OK
University of North Texas,21-Apr,80324884,74,"Solar, Wind",TX
George Washington University,21-Apr,77797575,57,"Biomass, Solar",DC
University of Missouri,21-Apr,75528949,32,"Biomass, Solar, Wind",MO
Ohio University,21-Apr,69670685,73,"Solar, Wind",OH
Rochester Institute of Technology,21-Apr,69543062,97,Various,NY
University of Minnesota,21-Apr,61519736,16,"Solar, Wind",MN
University of Virginia,21-Apr,61461216,18,Solar,VA
University of Vermont,21-Apr,59759945,101,"Biogas, Solar, Wind",VT
Southern Illinois University Edwardsville,21-Apr,55957182,100,Wind,IL
City Colleges of Chicago,21-Apr,54429677,100,Wind,IL
Temple University,21-Apr,48924000,27,Various,PA
Drexel University,21-Apr,43913000,52,"Solar, Wind",PA
American University,21-Apr,40799344,74,Various,DC
Syracuse University,21-Apr,40250000,37,Wind,NY
American University,21-Jan,40799344,74,Various,DC
University of California,21-Jan,328380213,30,"Biogas, Biomass, Solar, Wind",CA
Arizona State University,21-Jan,292135945,87,"Solar, Wind",AZ
Columbia University,21-Jan,277892000,100,Various,NY
"University at Buffalo, The State University of New York",21-Jan,227985303,100,"Biomass, Solar",NY
Boston University,21-Jan,205000000,100,Wind,MD
University of Maryland,21-Jan,204194825,70,"Small-hydro, Solar, Wind",MD
Stanford University,21-Jan,190930395,67,Various,CA
Georgetown University,21-Jan,152404000,127,Wind,DC
University of Utah,21-Jan,148673985,49,Geothermal,UT
Carnegie Mellon University,21-Jan,134008880,105,"Solar, Wind",PA
University of Oklahoma,21-Jan,132336000,70,Wind,OK
Saint Louis University,21-Jan,125000000,105,Wind,MO
Northwestern University,21-Jan,100202000,38,"Solar, Wind",IL
The Ohio State University,21-Jan,99742483,17,Wind,OH
Oklahoma State University,21-Jan,88769890,67,Wind,OK
University of North Texas,21-Jan,80331867,67,"Solar, Wind",TX
University of Minnesota,21-Jan,75528949,32,"Biomass, Solar, Wind",MN
George Washington University,21-Jan,73464846,50,Solar,DC
Rochester Institute of Technology,21-Jan,70711082,92,"Solar, Wind",NY
University of New Hampshire,21-Jan,69871000,100,Wind,NH
Colorado State University,21-Jan,63562340,37,Various,CO
University of Virginia,21-Jan,61461216,18,Solar,VA
University of Vermont,21-Jan,59759945,101,"Biogas, Solar, Wind",VT
University of Minnesota,21-Jan,58410288,15,Various,MN
Southern Illinois University Edwardsville,21-Jan,55957182,100,Wind,IL
City Colleges of Chicago,21-Jan,54429677,100,Wind,IL
Ohio University,21-Jan,53206118,50,"Solar, Wind",OH
"University of Tennessee, Knoxville",21-Jan,50058020,21,"Solar, Wind",TN
Temple University,21-Jan,48924000,27,Various,PA
Drexel University,21-Jan,43913000,52,"Solar, Wind",PA
University of California,20-Oct,328380213,30,"Biogas, Biomass, Solar, Wind",CA
Arizona State University,20-Oct,292135945,87,"Solar, Wind",AZ
Columbia University,20-Oct,277892000,100,Various,NY
"University at Buffalo, The State University of New York",20-Oct,227985303,100,"Biomass, Solar",NY
University of Maryland,20-Oct,204194825,70,"Small-hydro, Solar, Wind",MD
Stanford University,20-Oct,190930395,67,Various,CA
Georgetown University,20-Oct,159149526,130,Wind,DC
University of Utah,20-Oct,148673985,49,"Geothermal, Solar",UT
Carnegie Mellon University,20-Oct,134008880,105,"Solar, Wind",PA
University of Oklahoma,20-Oct,132336000,70,Wind,OK
Saint Louis University,20-Oct,125000000,105,Wind,MO
Northwestern University,20-Oct,100202000,38,"Solar, Wind",IL
The Ohio State University,20-Oct,99742483,17,"Biomass, Solar, Wind",OH
Oklahoma State University,20-Oct,88769890,67,Solar,OK
University of North Texas,20-Oct,80331867,67,"Solar, Wind",TX
University of Missouri,20-Oct,75528949,32,"Biomass, Solar, Wind",MS
George Washington University,20-Oct,73464846,50,Solar,DC
Rochester Institute of Technology,20-Oct,70711082,92,"Solar, Wind",NY
University of New Hampshire,20-Oct,69871000,100,Wind,NH
Colorado State University,20-Oct,63562340,37,Various,CO
University of Virginia,20-Oct,61461216,18,Solar,VA
University of Vermont,20-Oct,59759945,101,"Biogas, Solar, Wind",VT
University of Minnesota,20-Oct,58410288,15,Various,MN
City Colleges of Chicago,20-Oct,54429677,100,Wind,IL
American University,20-Oct,53982144,97,Various,DC
Ohio University,20-Oct,53206118,50,"Solar, Wind",OH
"University of Tennessee, Knoxville",20-Oct,50058020,21,"Solar, Wind",TN
Temple University,20-Oct,48924000,25,Various,PA
Drexel University,20-Oct,43913000,52,"Solar, Wind",PA
University of Pittsburg,20-Oct,41049070,19,Various,PA
University of California,20-Jul,328380213,30,"Biogas, Biomass, Solar, Wind",CA
Arizona State University,20-Jul,292135945,87,"Solar, Wind",AZ
Columbia University,20-Jul,270897887,100,Wind,NY
"University at Buffalo, The State University of New York",20-Jul,227985303,100,"Biomass, Solar",NY
University of Maryland,20-Jul,204194825,92,"Small-hydro, Solar, Wind",MD
Stanford University,20-Jul,190930395,67,Various,CA
Georgetown University,20-Jul,159149526,130,Wind,DC
"University of Tennessee, Knoxville",20-Jul,158044000,67,"Solar, Wind",TN
University of Utah,20-Jul,148673985,49,"Geothermal, Solar",UT
Carnegie Mellon University,20-Jul,134008880,105,"Solar, Wind",PA
University of Oklahoma,20-Jul,132336000,70,Wind,OK
Saint Louis University,20-Jul,125000000,105,Wind,MO
Northwestern University,20-Jul,100202000,38,"Solar, Wind",IL
The Ohio State University,20-Jul,99742483,17,Wind,OH
Oklahoma State University,20-Jul,82474642,60,Wind,OK
University of Missouri,20-Jul,79114109,33,"Biomass, Solar, Wind",MS
George Washington University,20-Jul,73464846,50,"Solar, Wind",DC
Rochester Institute of Technology,20-Jul,70711082,92,"Solar, Wind",NY
University of New Hampshire,20-Jul,69871000,100,Wind,NH
Colorado State University,20-Jul,63562340,37,Various,CO
University of Virginia,20-Jul,61461216,18,Solar,VA
Ohio University,20-Jul,60689366,50,"Solar, Wind",OH
University of Vermont,20-Jul,59759945,101,"Biogas, Solar, Wind",VT
University of Minnesota,20-Jul,58410288,15,Various,MN
Southern Illinois University Edwardsville,20-Jul,56109545,100,Wind,IL
City Colleges of Chicago,20-Jul,54429677,100,Wind,IL
American University,20-Jul,53982144,97,Various,DC
Temple University,20-Jul,48924000,25,Various,PA
Drexel University,20-Jul,43913000,52,"Solar, Wind",PA
University of Pittsburg,20-Jul,41049070,19,Various,PA
University of California,20-Apr,328380213,30,"Biogas, Biomass, Solar, Wind",CA
Arizona State University,20-Apr,292135945,87,"Solar, Wind",AZ
Columbia University,20-Apr,270897887,100,Wind,NY
"University at Buffalo, The State University of New York",20-Apr,227985303,100,"Biomass, Solar",NY
University of Pennsylvania,20-Apr,200000000,71,Wind,PA
Stanford University,20-Apr,190930395,67,Various,CA
Georgetown University,20-Apr,159149526,130,Wind,DC
"University of Tennessee, Knoxville",20-Apr,158044000,67,"Solar, Wind",TN
University of Utah,20-Apr,148673985,49,"Geothermal, Solar",UT
University of Utah,20-Apr,146567825,53,Various,MD
Carnegie Mellon University,20-Apr,134008880,105,"Solar, Wind",PA
University of Oklahoma,20-Apr,132336000,70,Wind,OK
Saint Louis University,20-Apr,125000000,105,Wind,MO
University of Missouri,20-Apr,104001209,42,"Biomass, Solar, Wind",MS
Northwestern University,20-Apr,100370800,39,"Solar, Wind",IL
The Ohio State University,20-Apr,99742483,17,Wind,OH
Drexel University,20-Apr,87766000,103,"Solar, Wind",PA
Oklahoma State University,20-Apr,82474642,60,Wind,OK
George Washington University,20-Apr,73464846,50,Solar,DC
University of Virginia,20-Apr,70936294,21,Solar,VA
Rochester Institute of Technology,20-Apr,70711082,92,"Solar, Wind",NY
Ohio University,20-Apr,60689366,50,"Solar, Wind",OH
University of Vermont,20-Apr,59759945,101,"Biogas, Solar, Wind",VT
American University,20-Apr,59476806,107,Various,DC
University of Minnesota,20-Apr,57800000,16,"Solar, Wind",MN
Southern Illinois University Edwardsville,20-Apr,56109545,100,Wind,IL
City Colleges of Chicago,20-Apr,54429677,100,Wind,IL
University of New Hampshire,20-Apr,46469000,65,Wind,NH
Temple University,20-Apr,44000000,21,Wind,PA
Syracuse University,20-Apr,40250000,35,Wind,IL
University of California,20-Jan,273347222,25,Various,CA
Columbia University,20-Jan,270897887,100,Wind,NY
"University at Buffalo, The State University of New York",20-Jan,224325000,100,"Biomass, Solar",NY
University of Pennsylvania,20-Jan,200000000,71,Wind,PA
Georgetown University,20-Jan,159149526,130,Wind,DC
Stanford University,20-Jan,159021886,56,Solar,CA
"University of Tennessee, Knoxville",20-Jan,158044000,67,"Solar, Wind",TN
University of Utah,20-Jan,148673985,49,"Geothermal, Solar",UT
University of Maryland,20-Jan,146567825,53,Various,MD
University of Oklahoma,20-Jan,135692000,70,Wind,OK
