College Name,Month/Year Collected,Annual Green Power Usage (kWh),GP% Total Energy Use,Green Power Resources,College State,Rank,Lat,Long,Table2.City location of institution (HD2020),Table2.Hours of sunlight per city,Table2.Average enrollment from 2020 - 2018
University of California,7/21/2021 0:00,480801183,46,Various,CA,1,37.871853,-122.258423,Berkeley,3061.7,42671
University of California,4/21/2021 0:00,328380213,30,"Biogas, Biomass, Solar, Wind",CA,1,37.871853,-122.258423,Berkeley,3061.7,42671
American University,7/21/2021 0:00,40799344,74,Various,DC,30,38.93695,-77.08947,Washington,2527.7,14210
Arizona State University,7/21/2021 0:00,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001,Tempe,3919.11,59888.67
Arizona State University,4/21/2021 0:00,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001,Tempe,3919.11,59888.67
Columbia University,7/21/2021 0:00,232109000,100,Various,NY,3,40.80819,-73.958305,New York,2534.7,30889.33
Columbia University,4/21/2021 0:00,232109000,100,Various,NY,3,40.80819,-73.958305,New York,2534.7,30889.33
Boston University,7/21/2021 0:00,205000000,100,Wind,MA,5,42.3339865,-71.1047742,Boston,2633.6,33698.33
Boston University,4/21/2021 0:00,205000000,100,Wind,MA,5,42.3339865,-71.1047742,Boston,2633.6,33698.33
"University at Buffalo, The State University of New York",7/21/2021 0:00,216403405,102,"Solar, Wind",NY,4,43.0004,-78.7879,Buffalo,2206.6,31924.33
"University at Buffalo, The State University of New York",4/21/2021 0:00,216403405,102,"Solar, Wind",NY,4,43.0004,-78.7879,Buffalo,2206.6,31924.33
Stanford University,7/21/2021 0:00,186275157,69,Various,CA,6,37.428993,-122.16986,Stanford,3070,16861
Stanford University,4/21/2021 0:00,186275157,69,Various,CA,6,37.428993,-122.16986,Stanford,3070,16861
University of Maryland,7/21/2021 0:00,171274825,68,"Small-hydro, Solar, Wind",MD,7,38.980297,-76.93312,College Park,2527.7,40884
University of Maryland,4/21/2021 0:00,171274825,68,"Small-hydro, Solar, Wind",MD,7,38.980297,-76.93312,College Park,2527.7,40884
Georgetown University,7/21/2021 0:00,152404000,127,Wind,DC,8,38.90832,-77.0713,Washington,2527.7,19389.33
Georgetown University,4/21/2021 0:00,152404000,127,Wind,DC,8,38.90832,-77.0713,Washington,2527.7,19389.33
University of Utah,7/21/2021 0:00,129873801,43,"Geothermal, Solar",UT,9,40.277779,-111.71389,Salt Lake City,3029.4,32985.33
University of Utah,4/21/2021 0:00,148673985,49,"Geothermal, Solar",UT,9,40.277779,-111.71389,Salt Lake City,3029.4,32985.33
George Washington University,7/21/2021 0:00,77797575,57,"Biomass, Solar",DC,18,38.89845,-77.04943,Washington,2527.7,27667.67
Carnegie Mellon University,7/21/2021 0:00,125005846,111,"Solar, Wind",PA,10,40.444603,-79.941986,,,
Oklahoma State University,7/21/2021 0:00,88769890,67,Wind,OK,16,36.121414,-97.06839,,,
City Colleges of Chicago,7/21/2021 0:00,46544696,100,Wind,IL,28,41.87813,-87.63418,,,
Carnegie Mellon University,4/21/2021 0:00,125005846,111,"Solar, Wind",PA,10,40.444603,-79.941986,,,
Saint Louis University,7/21/2021 0:00,125000000,105,Wind,MO,11,38.63546,-90.233826,Saint Louis,2593.7,13155.33
Northeastern University,7/21/2021 0:00,106000000,100,Wind,MA,13,42.3398,-71.08961,Boston,2633.6,22246.33
University of Oklahoma,7/21/2021 0:00,122065000,72,Wind,OK,12,35.205894,-97.445717,Norman,3218.5,28138.33
University of Oklahoma,4/21/2021 0:00,125000000,105,Wind,OK,11,35.205894,-97.445717,Norman,3218.5,28138.33
Northwestern University,7/21/2021 0:00,100197017,40,"Solar, Wind",IL,14,42.05499,-87.6772,Evanston,2508.4,22392.67
The Ohio State University,7/21/2021 0:00,99742483,17,Wind,OH,15,39.999387,-83.02271,Columbus,2182.6,61310
Ohio University,7/21/2021 0:00,69670685,73,"Solar, Wind",OH,20,39.32434355,-82.10142527,Athens,2824,27187
Rochester Institute of Technology,7/21/2021 0:00,69543062,97,Various,NY,21,43.16103,-77.610924,Rochester,2298.2,16291.67
University of North Texas,7/21/2021 0:00,80324884,74,"Solar, Wind",TX,17,33.210663,-97.14733,Denton,3107.4,39510
Southern Illinois University Edwardsville,7/21/2021 0:00,55957182,100,Wind,IL,26,38.7933,-89.9961,Edwardsville,3059.4,13067.33
University of Missouri,7/21/2021 0:00,75528949,32,"Biomass, Solar, Wind",MO,19,38.951561,-92.328636,Columbia,2627,30315.33
Tarrant County College District,7/21/2021 0:00,57130346,100,"Solar, Wind",TX,25,32.747883,-97.32769,Fort Worth,2849.7,48206.33
Temple University,7/21/2021 0:00,48924000,27,Various,PA,27,39.980225,-75.15758,Philadelphia,2498.4,38590
University of Minnesota,7/21/2021 0:00,61519736,16,"Solar, Wind",MN,22,44.97587,-93.23449,Minneapolis,2710.7,51429
University of Virginia,7/21/2021 0:00,61461216,18,Solar,VA,23,38.031788,-78.50434,Charlottesville,3072.7,25093
University of Vermont,7/21/2021 0:00,59759945,101,"Biogas, Solar, Wind",VT,24,44.469288,-73.20026,Burlington,2295.1,13411.67
University of Wisconsin,7/21/2021 0:00,41776175,10,"Solar, Wind",WI,29,43.074787,-89.403564,Madison,2773.4,44120
Saint Louis University,4/21/2021 0:00,122065000,72,Wind,MO,12,38.63546,-90.233826,Saint Louis,2593.7,13155.33
Northeastern University,4/21/2021 0:00,106000000,100,Wind,MA,13,42.3398,-71.08961,Boston,2633.6,22246.33
Northwestern University,4/21/2021 0:00,100197017,40,"Solar, Wind",IL,14,42.05499,-87.6772,Evanston,2508.4,22392.67
The Ohio State University,4/21/2021 0:00,99742483,17,Wind,OH,15,39.999387,-83.02271,Columbus,2182.6,61310
Oklahoma State University,4/21/2021 0:00,88769890,67,Wind,OK,16,36.121414,-97.06839,,,
University of North Texas,4/21/2021 0:00,80324884,74,"Solar, Wind",TX,17,33.210663,-97.14733,Denton,3107.4,39510
George Washington University,4/21/2021 0:00,77797575,57,"Biomass, Solar",DC,18,38.89845,-77.04943,Washington,2527.7,27667.67
University of Missouri,4/21/2021 0:00,75528949,32,"Biomass, Solar, Wind",MO,19,38.951561,-92.328636,Columbia,2627,30315.33
Ohio University,4/21/2021 0:00,69670685,73,"Solar, Wind",OH,20,39.32434355,-82.10142527,Athens,2824,27187
Rochester Institute of Technology,4/21/2021 0:00,69543062,97,Various,NY,21,43.16103,-77.610924,Rochester,2298.2,16291.67
University of Minnesota,4/21/2021 0:00,61519736,16,"Solar, Wind",MN,22,44.97587,-93.23449,Minneapolis,2710.7,51429
University of Virginia,4/21/2021 0:00,61461216,18,Solar,VA,23,38.031788,-78.50434,Charlottesville,3072.7,25093
University of Vermont,4/21/2021 0:00,59759945,101,"Biogas, Solar, Wind",VT,24,44.469288,-73.20026,Burlington,2295.1,13411.67
Southern Illinois University Edwardsville,4/21/2021 0:00,55957182,100,Wind,IL,25,38.7933,-89.9961,Edwardsville,3059.4,13067.33
City Colleges of Chicago,4/21/2021 0:00,54429677,100,Wind,IL,26,41.87813,-87.63418,,,
Temple University,4/21/2021 0:00,48924000,27,Various,PA,27,39.980225,-75.15758,Philadelphia,2498.4,38590
Drexel University,4/21/2021 0:00,43913000,52,"Solar, Wind",PA,28,39.95411,-75.186905,Philadelphia,2498.4,24142.67
American University,4/21/2021 0:00,40799344,74,Various,DC,29,39.95411,-77.08947,Washington,2527.7,14210
Syracuse University,4/21/2021 0:00,40250000,37,Wind,NY,30,43.03762,-76.13297,Syracuse,2119.5,22325
University of California,1/21/2021 0:00,328380213,30,"Biogas, Biomass, Solar, Wind",CA,1,37.871853,-122.258423,Berkeley,3061.7,42671
Arizona State University,1/21/2021 0:00,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001,Tempe,3919.11,59888.67
Columbia University,1/21/2021 0:00,277892000,100,Various,NY,3,40.80819,-73.958305,New York,2534.7,30889.33
"University at Buffalo, The State University of New York",1/21/2021 0:00,227985303,100,"Biomass, Solar",NY,4,43.0004,-78.7879,Buffalo,2206.6,31924.33
Boston University,1/21/2021 0:00,205000000,100,Wind,MD,5,42.3339865,-71.1047742,Boston,2633.6,33698.33
University of Maryland,1/21/2021 0:00,204194825,70,"Small-hydro, Solar, Wind",MD,6,38.980297,-76.93312,College Park,2527.7,40884
Stanford University,1/21/2021 0:00,190930395,67,Various,CA,7,37.428993,-122.16986,Stanford,3070,16861
Georgetown University,1/21/2021 0:00,152404000,127,Wind,DC,8,38.90832,-77.0713,Washington,2527.7,19389.33
University of Utah,1/21/2021 0:00,148673985,49,Geothermal,UT,9,40.277779,-111.71389,Salt Lake City,3029.4,32985.33
Carnegie Mellon University,1/21/2021 0:00,134008880,105,"Solar, Wind",PA,10,40.444603,-79.941986,,,
University of Oklahoma,1/21/2021 0:00,132336000,70,Wind,OK,11,35.205894,-97.445717,Norman,3218.5,28138.33
Saint Louis University,1/21/2021 0:00,125000000,105,Wind,MO,12,38.63546,-90.233826,Saint Louis,2593.7,13155.33
Northwestern University,1/21/2021 0:00,100202000,38,"Solar, Wind",IL,13,42.05499,-87.6772,Evanston,2508.4,22392.67
The Ohio State University,1/21/2021 0:00,99742483,17,Wind,OH,14,39.999387,-83.02271,Columbus,2182.6,61310
Oklahoma State University,1/21/2021 0:00,88769890,67,Wind,OK,15,36.121414,-97.06839,,,
University of North Texas,1/21/2021 0:00,80331867,67,"Solar, Wind",TX,16,33.210663,-97.14733,Denton,3107.4,39510
University of Minnesota,1/21/2021 0:00,75528949,32,"Biomass, Solar, Wind",MN,17,44.97587,-93.23449,Minneapolis,2710.7,51429
George Washington University,1/21/2021 0:00,73464846,50,Solar,DC,18,38.89845,-77.04943,Washington,2527.7,27667.67
Rochester Institute of Technology,1/21/2021 0:00,70711082,92,"Solar, Wind",NY,19,43.16103,-77.610924,Rochester,2298.2,16291.67
University of New Hampshire,1/21/2021 0:00,69871000,100,Wind,NH,20,43.13861,-70.937706,Durham,2976.6,14811.33
Colorado State University,1/21/2021 0:00,63562340,37,Various,CO,21,40.57479,-105.080795,Fort Collins,2990,33110.67
University of Virginia,1/21/2021 0:00,61461216,18,Solar,VA,22,38.031788,-78.50434,Charlottesville,3072.7,25093
University of Vermont,1/21/2021 0:00,59759945,101,"Biogas, Solar, Wind",VT,23,44.469288,-73.20026,Burlington,2295.1,13411.67
University of Minnesota,1/21/2021 0:00,58410288,15,Various,MN,24,44.97587,-93.23449,Minneapolis,2710.7,51429
Southern Illinois University Edwardsville,1/21/2021 0:00,55957182,100,Wind,IL,25,38.7933,-89.9961,Edwardsville,3059.4,13067.33
