College Name,Month/Year Collected,Annual Green Power Usage (kWh),GP% Total Energy Use,Green Power Resources,College State,Rank,Lat,Long,City location of institution,Hours of sunlight per city,Average enrollment from 2020 - 2018
American University,7/26/2021,40799344,74,Various,DC,30,38.93695,-77.08947,Washington,2527.7,14210
American University,4/26/2021,40799344,74,Various,DC,29,39.95411,-77.08947,Washington,2527.7,14210
American University,10/19/2020,53982144,97,Various,DC,25,38.93695,-77.08947,Washington,2527.7,14210
American University,7/27/2020,53982144,97,Various,DC,27,38.93695,-77.08947,Washington,2527.7,14210
American University,4/27/2020,59476806,107,Various,DC,24,38.93695,-77.08947,Washington,2527.7,14210
American University,1/27/2020,59476806,107,Various,DC,24,38.93695,-77.08947,Washington,2527.7,14210
American University,7/29/2019,59476806,107,Various,DC,21,38.93695,-77.08947,Washington,2527.7,14210
American University,4/22/2019,59476806,107,Various,DC,22,38.93695,-77.08947,Washington,2527.7,14210
American University,2/5/2019,59476806,107,Various,DC,22,38.93695,-77.08947,Washington,2527.7,14210
American University,10/29/2018,56554441,103,Various,DC,25,38.93695,-77.08947,Washington,2527.7,14210
American University,7/23/2018,56554441,103,Solar,DC,26,38.93695,-77.08947,Washington,2527.7,14210
American University,4/25/2018,56554441,103,Solar,DC,26,38.93695,-77.08947,Washington,2527.7,14210
American University,1/22/2018,55282224,100,Solar,DC,24,38.93695,-77.08947,Washington,2527.7,14210
Arizona State University,7/26/2021,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001,Tempe,3919.11,59888.67
Arizona State University,4/26/2021,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001,Tempe,3919.11,59888.67
Arizona State University,1/25/2021,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001,Tempe,3919.11,59888.67
Arizona State University,10/19/2020,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001,Tempe,3919.11,59888.67
Arizona State University,7/27/2020,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001,Tempe,3919.11,59888.67
Arizona State University,4/27/2020,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001,Tempe,3919.11,59888.67
Arizona State University,1/27/2020,105000000,30,"Solar, Wind",AZ,14,33.424564,-111.928001,Tempe,3919.11,59888.67
Arizona State University,7/29/2019,105000000,30,"Solar, Wind",AZ,11,33.424564,-111.928001,Tempe,3919.11,59888.67
